"Y_260,00nm_25,0-85,0C",,"Y_260,00nm_85,0-25,0C",,"L0_260,00nm_25,0-85,0C",,"L0_260,00nm_85,0-25,0C",,"Y+L0_260,00nm_25,0-85,0C",,"Y+L0_260,00nm_85,0-25,0C",,"Y+2L0_260,00nm_25,0-85,0C",,"Y+2L0_260,00nm_85,0-25,0C",,"Y+3L0_260,00nm_25,0-85,0C",,"Y+3L0_260,00nm_85,0-25,0C",,"Y+4L0_260,00nm_25,0-85,0C",,"Y+4L0_260,00nm_85,0-25,0C",,"Y+L0+L2_260,00nm_25,0-85,0C",,"Y+L0+L2_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
25,0.643003457430306,85,1.0064409398020908,25,0.083509289892240962,85,0.55167701926073676,25,0.71800999444520774,85,1.6626135523140859,25,0.66255600492985689,85,2.301848548276,25,0.68162077407248944,85,2.8415792497520096,25,0.91660477378631344,85,3.1882769532807114,25,4.3477991678558885,85,5.1652563931930393
26,0.64607925418803647,84,0.963611366316762,26,0.08264583206500288,84,0.55215880783936122,26,0.71933887490378845,84,1.6332039833003351,26,0.68163036649594722,84,2.2500373238284279,26,0.65675346268013579,84,2.8045318922694138,26,0.90151201419740223,84,3.113296294648725,26,4.2688352615173741,84,5.1671463040567369
27,0.647639124681003,83,0.91477735780969749,27,0.084383777533769938,83,0.5521243539302918,27,0.7219805826989113,83,1.5986506284003825,27,0.68870057504825366,83,2.2176150293769177,27,0.64152848069293544,83,2.7547477934962892,27,0.8664521425460765,83,3.0682588889959233,27,4.216191949474096,83,5.1186632767571263
28,0.646471873806977,82,0.880557718823717,28,0.087899582450479366,82,0.55208374795139148,28,0.72282442784170464,82,1.5661887191443398,28,0.69159791568688256,82,2.1791521876794806,28,0.63592369541853744,82,2.7087307164712766,28,0.83970271532594087,82,3.0359667741575005,28,4.1839207718852736,82,5.1161135394053
29,0.64820233225347124,81,0.85521050409528809,29,0.089251512900279925,81,0.55209021410549142,29,0.72431476823344809,81,1.5311736523468424,29,0.69537415897789778,81,2.1321844666727583,29,0.634988478732678,81,2.6780123228312478,29,0.8433516830820863,81,3.0095779540335474,29,4.1577905928332974,81,5.1289896921831124
30,0.6529250435466516,80,0.83557678268465829,30,0.089699750542343137,80,0.55201149191261878,30,0.72702508005333266,80,1.5003220730309479,30,0.69923350750397,80,2.0920625263804173,30,0.63550442038909838,80,2.6394909983540416,30,0.8454463598019325,80,2.9900007468881364,30,4.1595808778477954,80,5.0996088490795257
31,0.657904504002945,79,0.81678007218717807,31,0.090732212190221512,79,0.55169109500207447,31,0.72888394580734317,79,1.4740341307186609,31,0.70145677428680031,79,2.0561211243381945,31,0.63588386218748927,79,2.6014845602234806,31,0.86000184615889508,79,2.9761726436012137,31,4.1763740285266611,79,5.0769840749486219
32,0.66187389659461959,78,0.80126413753058945,32,0.094260610333747677,78,0.55118889286457429,32,0.72820898588820249,78,1.4409329950100251,32,0.699617035441896,78,2.0273921127386791,32,0.6358100352676288,78,2.570364186002859,32,0.88128197512784912,78,2.9666852498638154,32,4.2012457516988642,78,5.0822691059686713
33,0.66443967810740678,77,0.78808436978699414,33,0.10116929775868393,77,0.55094835086388638,33,0.72617567724597276,77,1.4142563804316695,33,0.692522649316509,77,2.0020735233088347,33,0.63819172520158818,77,2.5442000421781881,33,0.87744084950575663,77,2.951296519931939,33,4.2333010771682007,77,5.0847803959404025
34,0.66974813346220941,76,0.775479657013579,34,0.1111283172392199,76,0.55075670275245137,34,0.72455681382237158,76,1.3990432872336132,34,0.6886606397255608,76,1.9799510140332179,34,0.64265170973078656,76,2.5194235803974272,34,0.867037464763756,76,2.936349628672573,34,4.2621731723093053,76,5.0605227027509043
35,0.68185914144535631,75,0.76382872214442554,35,0.12506409745365091,75,0.5505280550685997,35,0.72318348929933,75,1.3946354642835788,35,0.69102332293906488,75,1.9615578369499578,35,0.64664431488415086,75,2.4929407631497078,35,0.86798969123379954,75,2.9219417540109469,35,4.277075264602999,75,5.035557882633678
36,0.70072925078949355,74,0.752351871360913,36,0.14357954452016944,74,0.55008717235526239,36,0.72256013314044121,74,1.381075925213479,36,0.69461582360197349,74,1.9456586457144551,36,0.66608166113848588,74,2.4738439031013626,36,0.87153268641934256,74,2.914624219733807,36,4.2951595961097722,74,5.0597163833434458
37,0.730073749043771,73,0.74299425296633359,37,0.17405593806998607,73,0.54965141870874679,37,0.72275518461470933,73,1.3609233801135561,37,0.69905940991703486,73,1.9278513777998931,37,0.70757871714533438,73,2.4550916278984105,37,0.87885854720909984,73,2.9055678743533004,37,4.3150245299045453,73,5.05580861678656
38,0.76422830157054,72,0.73634391704102509,38,0.22137978169747613,72,0.54908087886649981,38,0.72517022778046447,72,1.3451096654243473,38,0.7064053960631,72,1.9125907170107335,38,0.74674648193896564,72,2.4362939345593646,38,0.88771521834730882,72,2.89215587020292,38,4.3373250430116794,72,5.0454022777977041
39,0.80120596832374857,71,0.73084376871243151,39,0.28258366874479673,71,0.54828567881803758,39,0.73080264575494824,71,1.3267125054231992,39,0.72056703037174785,71,1.8981490622275063,39,0.78443460060657333,71,2.416764738403498,39,0.89999251982520645,71,2.8733441340070591,39,4.3692326442940406,71,5.0380166675689919
40,0.84004339896713542,70,0.72692723364049894,40,0.35344437059949263,70,0.547183075957964,40,0.74190354483618348,70,1.3053304979138265,40,0.74472879434392647,70,1.8837932222705303,40,0.8133201076361749,70,2.39855853292776,40,0.9160255992164692,70,2.85156957934335,40,4.3938088808516955,70,5.0240496944841126
41,0.8811930421087959,69,0.72398128143270812,41,0.421743516997381,69,0.54527422249842417,41,0.75999994882752542,69,1.2798947524080024,41,0.7768113032815277,69,1.8687919013511363,41,0.836430962893014,69,2.3788409181625365,41,0.94047620229751694,69,2.8229430630886818,41,4.4253836919332183,69,5.00481392994501
42,0.92331609243769674,68,0.72215246374086384,42,0.42359569242319012,68,0.54160544993612736,42,0.78615687764815134,68,1.2506881415132296,42,0.81544006665349456,68,1.8537867774430568,42,0.870050278077205,68,2.3588345145148559,42,0.96951807740620832,68,2.7874329774538245,42,4.46562428006323,68,5.0126204205370151
43,0.95868745322352933,67,0.71983639294018564,43,0.40565072347805836,67,0.53560038906847252,43,0.8172993178015342,67,1.2174792534654812,43,0.8549110360217298,67,1.8357531583836633,43,0.91490893843080734,67,2.3331205577228618,43,1.0062716899344581,67,2.7471533722460348,43,4.5163380502028323,67,5.0151741411374573
44,0.98777828155200853,66,0.717391322331308,44,0.39793967228708116,66,0.52730773009711962,44,0.85734535381948285,66,1.1853625536122327,44,0.90027671401200615,66,1.8138057394964331,44,0.96255832889787452,66,2.3072276405931849,44,1.050198890907649,66,2.7038915350413819,44,4.5707582243009011,66,5.0211373079246595
45,1.0128937011893704,65,0.71545087877558444,45,0.39363644816715432,65,0.517458829582359,45,0.89550707715135136,65,1.1579890081971,45,0.94441910229190029,65,1.7836267284863698,45,1.0014077506669945,65,2.2776862765391628,45,1.1029852532664661,65,2.6539200351673822,45,4.6193419252580377,65,4.9964791366345835
46,1.0328988343320151,64,0.71299425890591406,46,0.39336665363103823,64,0.50786637921736488,46,0.9348190230262885,64,1.1371913227513966,46,0.99614151332572787,64,1.7374997873576981,46,1.0330534545731536,64,2.2370348253956336,46,1.1614742583317936,64,2.599310233788231,46,4.6583905094472051,64,4.9651603681324863
47,1.0562486477553987,63,0.71183328186165973,47,0.39569391543482113,63,0.49904032958935218,47,0.97370104292027237,63,1.1207881595768838,47,1.0481980971619116,63,1.6938476111996419,47,1.06792314223415,63,2.1864329992559388,47,1.2291410809012491,63,2.5454359210263413,47,4.7017921221823782,63,4.9591109220817975
