"L2100NaCl_260,00nm_25,0-85,0C",,"L2100NaCl_260,00nm_85,0-25,0C",,"L2150NaCl_260,00nm_25,0-85,0C",,"L2150NaCl_260,00nm_85,0-25,0C",,"L2200NaCl_260,00nm_25,0-85,0C",,"L2200NaCl_260,00nm_85,0-25,0C",,"L3100NaCl_260,00nm_25,0-85,0C",,"L3100NaCl_260,00nm_85,0-25,0C",,"L3150NaCl_260,00nm_25,0-85,0C",,"L3150NaCl_260,00nm_85,0-25,0C",,"L3200NaCl_260,00nm_25,0-85,0C",,"L3200NaCl_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
25,0.59366339456260053,85,0.76228224884724793,25,0.62652678659464667,85,0.80225302649743668,25,0.62123962765569707,85,0.7964336744838787,25,0.50197009486801858,85,0.64714220840042525,25,0.50066838439621508,85,0.65146735807295675,25,0.500270810184053,85,0.65048826695795858
26,0.593669144491093,84,0.76258629222272678,26,0.626867267041413,84,0.8021968022166549,26,0.621509069958594,84,0.79626521695896835,26,0.50221490126393409,84,0.64642158035932828,26,0.50080273751491378,84,0.65235162786098311,26,0.5002407205461854,84,0.65048760617268042
27,0.59385731232277117,83,0.76226115447971976,27,0.62784653653317768,83,0.80232558936506237,27,0.62195754205367382,83,0.79598375724561254,27,0.50238520903513717,83,0.64580557830419849,27,0.50104584029541888,83,0.65260285330117662,27,0.50049140249659529,83,0.64994300555621676
28,0.59429661874178352,82,0.76210315209654933,28,0.62830873436360746,82,0.80259065808262242,28,0.622495266374197,82,0.79517276847072182,28,0.50277013481465627,82,0.64573323031926655,28,0.50145574495151,82,0.65237504351879383,28,0.500824777049966,82,0.64952085974154461
29,0.5947297854891459,81,0.76220699342471943,29,0.62869934500717939,81,0.802553786280711,29,0.62312373439888979,81,0.79498108359583075,29,0.503114664092543,81,0.64583920909929626,29,0.50189883262096424,81,0.652167202129689,29,0.50126777325688,81,0.64938935047870616
30,0.59528505203776783,80,0.76208861206460676,30,0.62933466823854811,80,0.80239178968541658,30,0.62380396332454946,80,0.79474819046039,30,0.50356369435272041,80,0.6458343556024202,30,0.50245380335181122,80,0.6518508005987147,30,0.50186038455491688,80,0.649233796209299
31,0.59575625568425239,79,0.76191711868389245,31,0.62998430361978341,79,0.80240326074121882,31,0.62445112989562535,79,0.79440260626012871,31,0.5040380258741044,79,0.64569926283653323,31,0.50303760542605769,79,0.65146379029981039,31,0.50238971264228582,79,0.64898325511820376
32,0.59619861385546424,78,0.76169574725520428,32,0.63052650928958387,78,0.8021972177375426,32,0.62506535665144225,78,0.79402472236639088,32,0.50452066292681952,78,0.64556381170146082,32,0.50354183749835935,78,0.65088277370712555,32,0.50287973343032355,78,0.64861179261705737
33,0.59664226586914859,77,0.76144811057116868,33,0.63102805381958982,77,0.80192085512428268,33,0.62568792764683856,77,0.79358445982822867,33,0.50504984583200641,77,0.64520323657522494,33,0.50394062349409419,77,0.650283909809288,33,0.5034253110699346,77,0.64820236237918827
34,0.59716214298026338,76,0.76117201775717114,34,0.63178028449439716,76,0.80156110445845208,34,0.62631077500464438,76,0.79302719466549476,34,0.505609461119518,76,0.644445120997237,34,0.50441258890749874,76,0.64978417286287915,34,0.50394608984652411,76,0.64767378267893738
35,0.59787341342649492,75,0.76093637686432658,35,0.63279793492386938,75,0.80097438688222466,35,0.62688637550145054,75,0.79226268049461968,35,0.50625155942488576,75,0.64359023169307672,35,0.50504771207334276,75,0.64946339529767982,35,0.50443170525617353,75,0.64682739983215432
36,0.59849343660526289,74,0.76061673486768477,36,0.63332631915594273,74,0.79981875728343832,36,0.627420835316428,74,0.790998064041407,36,0.50675051166736029,74,0.64260301846493051,36,0.50564169316790719,74,0.64917241969300965,36,0.50497897466437314,74,0.64535514584092024
37,0.59899833255824286,73,0.76022281884195064,37,0.63345716590836287,73,0.79860522221485852,37,0.62796026490564294,73,0.78857110753633042,37,0.50706286370872089,73,0.64154713816157027,37,0.50610537156050606,73,0.64846135780373848,37,0.50547016342368489,73,0.642483463318999
38,0.59961340264528384,72,0.75965185079715181,38,0.63395356800591518,72,0.79641887498249186,38,0.62859879705959953,72,0.78394971663406177,38,0.50752410962689132,72,0.6404778609856222,38,0.50662000950874642,72,0.64671910918432574,38,0.50599884914158988,72,0.63677607418474869
39,0.60011581451289009,71,0.75876395265713736,39,0.63463058912213488,71,0.79207269496866084,39,0.62922319318184528,71,0.77588988799125425,39,0.50808181977049338,71,0.63944401503616877,39,0.5071377491399276,71,0.64359262828753072,39,0.506541572259534,71,0.62721126452657239
40,0.60065023924646188,70,0.75705397153099119,40,0.63514904694537322,70,0.78328291435320574,40,0.62988869517351642,70,0.76221462108085747,40,0.50836611937669274,70,0.6379228925048841,40,0.507602400160822,70,0.63753769064020516,40,0.50708165469140465,70,0.61307777039316558
41,0.60109306052743749,69,0.75374874005360293,41,0.63579124900695261,69,0.76787978418281633,41,0.63052913250718035,69,0.74443679132847262,41,0.50865218173672055,69,0.63536105881457994,41,0.50804477026448036,69,0.62723152997246689,41,0.50757744945004168,69,0.59671055344813728
42,0.60150080381277515,68,0.74753906370458512,42,0.63635361187972028,68,0.747418242005618,42,0.631109575739911,68,0.724616694733685,42,0.5092961607148373,68,0.63027774694027638,42,0.50850992399885586,68,0.61248198361158812,42,0.50811260180692019,68,0.58108907083549732
43,0.60192178271184871,67,0.73694777777277787,43,0.63693791325382987,67,0.72645778398911387,43,0.63174868808219764,67,0.705835292943463,43,0.5097321096521521,67,0.62143882015871987,43,0.50896450821080264,67,0.59516037502819963,43,0.50865157898503133,67,0.56780319115906452
